X,Object.ID,Is.Public.Domain,Department,AccessionYear,Object.Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist.Role,Artist.Prefix,Artist.Display.Name,Artist.Display.Bio,Artist.Suffix,Artist.Alpha.Sort,Artist.Nationality,Artist.Begin.Date,Artist.End.Date,Artist.Gender,Object.Date,Object.Begin.Date,Object.End.Date,Medium,Dimensions,Credit.Line,Geography.Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights.and.Reproduction
56953,43894,TRUE,Asian Art,1902,Vase with cover,NA,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1736,1795,"Nephrite, white with light greenish tint",H. 7 1/2 in. (19.1 cm); W. 3 3/4 in. (9.5 cm); D. 1 5/8 in. (4.2 cm),"Gift of Heber R. Bishop, 1902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jade,NA
46117,31868,FALSE,Arms and Armor,1936,Shaffron (Horse's head defense),Shaffron (Horse's Head Defense),Turkish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16th–17th century,1501,1700,Steel,H. 21 1/2 in. (54.6 cm); W. 8 3/4 in. (22.2 cm),"Bequest of George C. Stone, 1935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Equestrian Equipment-Shaffrons,NA
12287,223419,TRUE,European Sculpture and Decorative Arts,1936,Piece,Piece,Italian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16th–17th century,1500,1699,Silk,L. 9 x W. 6 1/4 inches (22.9 x 15.9 cm),"Gift of The United Piece Dye Works, 1936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Textiles-Velvets,NA
71420,484445,FALSE,Modern and Contemporary Art,1986,Drawing,Train Bridge,NA,NA,NA,NA,NA,Artist,NA,Bernard Sanders,"American, New York 1906–1967 New York",NA,"Sanders, Bernard",American,1906,1967,NA,1939,1939,1939,Ink and wash on paper,25 × 19 1/4 in. (63.5 × 48.9 cm),"Gift of Mrs. Bernard Sanders, 1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA
9160,677938,FALSE,Drawings and Prints,1953,Print,The Corn Bin,NA,NA,NA,NA,NA,Artist|Engraver|Publisher,After,George Morland|John Raphael Smith|John Raphael Smith,"British, London 1763–1804 London|British, baptized Derby 1751–1812 Doncaster|British, baptized Derby 1751–1812 Doncaster",NA,"Morland, George|Smith, John Raphael|Smith, John Raphael",British|British|British,1763      |1751      |1751,1804      |1812      |1812,||,"May 1, 1799",1799,1799,Mezzotint,"Plate: 17 15/16 × 21 7/8 in. (45.5 × 55.6 cm)
Sheet: 18 9/16 × 22 7/16 in. (47.2 × 57 cm)","Harris Brisbane Dick Fund, 1953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
78412,65247,FALSE,Asian Art,2002,Bridle fitting,鎏金熊紋青銅馬辔飾|Bridle Fitting with Crouching Bear,North China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3rd–2nd century B.C.,-299,-100,Gilt bronze,Diam. 1 in. (2.5 cm); H. 7/8 in. (2.2 cm),"Gift of Mr. and Mrs. Eugene V. Thaw, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metalwork,NA
10639,29922,TRUE,Arms and Armor,1936,Knife handle (Kozuka),Knife Handle (Kozuka),Japanese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1770–1852,1770,1852,"Copper-silver alloy (shibuichi), gold, silver, copper-gold alloy (shakudō)",L. 3 13/16 in. (9.7 cm); W. 9/16 in. (1.4 cm); thickness 3/16 in. (0.5 cm); Wt. 1.2 oz. (34 g),"The Howard Mansfield Collection, Gift of Howard Mansfield, 1936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sword Furniture-Kozuka,NA
70271,816691,FALSE,Drawings and Prints,1963,Print,Bobby Jones from playing cards with photo (W560),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,1927,1927,Commercial color photolithograph,Sheet: 2 5/8 × 1 3/4 in. (6.7 × 4.5 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints|Ephemera,NA
80022,789128,TRUE,Drawings and Prints,1959,Print,"The Embrace, from ""Journal of Sentimental Travels in the Southern Provinces of France, Shortly Before the Revolution""",NA,NA,NA,NA,NA,Publisher|Author|Artist|Printer,Letterpress by,"Rudolph Ackermann, London|William Combe|Thomas Rowlandson|J. Diggens","active 1794–1829|British, London 1742–1823 London|British, London 1757–1827 London|London",NA,"Ackermann, Rudolph|Combe, William|Rowlandson, Thomas|Diggens, J.",NA,1764      |1742      |1757      |1800,1834      |1823      |1827      |1900,|||,1817–21,1817,1821,Hand-colored etching and aquatint,Sheet: 5 5/8 in. × 9 in. (14.3 × 22.9 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
17982,285622,FALSE,Photographs,2005,Photograph,[Self-Portrait in Studio],NA,NA,NA,NA,NA,Artist,NA,Constantin Brancusi,"French (born Romania), Hobita 1876–1957 Paris",NA,"Brancusi, Constantin","French, born Romania",1876,1957,NA,1923,1923,1923,Gelatin silver print,Image: 29.8 × 23.3 cm (11 3/4 × 9 3/16 in.),"Gilman Collection, Purchase, Mr. and Mrs. Henry R. Kravis Gift, 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photographs,"© 2020 Artists Rights Society (ARS), New York"
67344,195157,TRUE,European Sculpture and Decorative Arts,1924,Decanter,Decanter (one of a pair),"Irish, Cork",NA,NA,NA,NA,Maker,NA,Cork Glass Company,NA,NA,Cork Glass Company,NA,NA,NA,NA,late 18th century,1785,1799,Glass,Height: 11 1/8 in. (28.3 cm),"Rogers Fund, 1924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glass,NA
81094,368464,FALSE,Drawings and Prints,1924,Book,"The New-York Magazine; or, Literary Repository, Vol. I",NA,NA,NA,NA,NA,Publisher|Engraver|Artist,After,Thomas and James Swords|Cornelius Tiebout|J. Anderson,"New York, NY|American, New York ca. 1773–1832 Kentucky|American, active New York, 1789–95",NA,"Swords, Thomas and James|Tiebout, Cornelius|Anderson, J.",American|American|American,1750      |1773      |1789,1800      |1832      |1795,||,1790,1790,1790,Illustrations: engraving,8 7/16 x 5 1/8 in. (21.5 x 13 cm),"Bequest of Charles Allen Munn, 1924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Books,NA
24038,422563,TRUE,Drawings and Prints,1963,Photograph,"Minnie Palmer, from the Actresses and Celebrities series (N60, Type 2) promoting Little Beauties Cigarettes for Allen & Ginter brand tobacco products",NA,NA,NA,NA,NA,Publisher,Issued by,Allen & Ginter,"American, Richmond, Virginia",NA,Allen & Ginter,American,NA,NA,NA,1887,1887,1887,Albumen photograph,Sheet: 2 3/8 × 1 1/2 in. (6 × 3.8 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photographs|Ephemera,NA
8205,553161,FALSE,Egyptian Art,1923,"Bead, block","Bead, block",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332–30 B.C.,-332,-30,Gold,H. 2.3 × W. 2.1 cm (7/8 × 13/16 in.),"Rogers Fund, 1923",From,NA,NA,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA
32437,355655,TRUE,Drawings and Prints,2013,Drawing,Landscape with an Aqueduct,NA,NA,NA,NA,NA,Artist,NA,Eugène Delacroix,"French, Charenton-Saint-Maurice 1798–1863 Paris",NA,"Delacroix, Eugène",French,1798,1863,NA,ca. 1827,1822,1832,"Pen and brown ink, brush and brown wash",sheet: 3 3/8 x 6 13/16 in. (8.6 x 17.3 cm),"Gift from the Karen B. Cohen Collection of Eugène Delacroix, in honor of Philippe de Montebello, 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA
32530,223703,TRUE,European Sculpture and Decorative Arts,1936,Piece,Piece,French,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mid-18th century,1730,1765,Silk,L. 22 x W. 6 1/4 inches (55.9 x 15.9 cm),"Gift of The United Piece Dye Works, 1936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Textiles-Woven,NA
7317,780483,FALSE,Drawings and Prints,1963,Print,Wallace MacDonald from Movie Stars Exhibit Cards series (W401),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca. 1920–30,1915,1930,Commercial color photolithograph,Sheet: 5 3/8 × 3 3/8 in. (13.6 × 8.5 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints|Ephemera,NA
67634,355612,FALSE,Drawings and Prints,1955,Drawing,"The Farmer's Supper, Illustration to ""Little Claus and Big Claus""",NA,NA,NA,NA,NA,Artist|Author,NA,Arthur Rackham|Hans Christian Andersen,"British, London 1867–1939 Limpsfield, Surrey|Danish, Odense 1805–1875 Copenhagen",NA,"Rackham, Arthur|Andersen, Hans Christian",British|Danish,1867      |1805,1939      |1875,|,ca. 1932,1927,1937,"Watercolor, pen and black ink with touches of white gouache",sheet: 11 1/8 x 9 9/16 in. (28.3 x 24.3 cm),"Gift of Everett Leslie Waid, 1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA
49269,196434,TRUE,European Sculpture and Decorative Arts,1929,Dish,Dish,"Spanish, Valencia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,late 16th–early 17th century,1585,1615,Tin-glazed and luster-painted earthenware,Overall: 3 1/4 × 15 1/4 in. (8.3 × 38.7 cm),"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceramics-Pottery,NA
34715,556597,FALSE,Egyptian Art,1904,Mirror disk,Mirror Disk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca. 1981–1550 B.C.,-1981,-1981,Bronze or copper alloy,Diam. 11.6 cm (4 9/16 in.),"Gift of Darius Ogden Mills, 1904",From,NA,NA,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA
57310,3588,TRUE,The American Wing,1918,Fender,Fender,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1795–1805,1795,1805,Brass,6 3/4 x 44 3/4 in. (17.1 x 113.7 cm),"John Stewart Kennedy Fund, 1918",Made in,New York,NA,NA,United States,NA,NA,NA,NA,NA,NA,Metal,NA
59452,659568,TRUE,Drawings and Prints,1963,Print,"The Rescue–Sergeants Newton and Jasper of Marion's Brigade, rescuing American prisoners from a British guard, who had stacked their muskets while resting near a spring, South Carolina, 1779.",NA,NA,NA,NA,NA,Publisher,NA,Currier & Ives,"American, active New York, 1857–1907",NA,Currier & Ives,American,1857,1907,NA,1876,1876,1876,Hand-colored lithograph,"Image: 8 7/8 × 12 3/8 in. (22.6 × 31.5 cm)
Sheet: 12 11/16 × 15 9/16 in. (32.2 × 39.5 cm)","Bequest of Adele S. Colgate, 1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
3736,109461,FALSE,Costume Institute,1941,Underskirt,Underskirt,American or European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1906,1906,1906,linen,NA,"Gift of Mrs. Samuel Liebmann, 1941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38638,828065,FALSE,Photographs,NA,Photograph,Walt Whitman (head only),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,Albumen silver print?,NA,"David Hunter McAlpin Fund, 1948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photographs,NA
2697,478183,TRUE,Medieval Art,2007,Brooch,Brooch,German,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8th century B.C.,-799,-700,Copper alloy,Overall: 3 15/16 x 1 13/16 x 13/16 in. (10 x 4.6 x 2.1 cm),"Gift of Josef and Brigitte Hatzenbuehler, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metalwork-Copper alloy,NA
31685,130347,FALSE,Costume Institute,2006,Suit,Suit,French,NA,NA,NA,NA,Designer|Design House,NA,Yves Saint Laurent|Yves Saint Laurent,"French (born Algeria) Oran 1936–2008 Paris|French, founded 1961",NA,"Saint Laurent Yves|Saint Laurent Yves, Paris",French|French,1936      |1961,2008      |9999,|,spring/summer 1980,1980,1980,"a,b) wool, silk",NA,"Gift of Thomas L. Kempner, 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44145,424945,TRUE,Drawings and Prints,1963,Print,"Steamship State of Indiana, State Line, from the Ocean and River Steamers series (N83) for Duke brand cigarettes",NA,NA,NA,NA,NA,Publisher,Issued by,"W. Duke, Sons & Co.","New York and Durham, N.C.",NA,"Duke, W. Sons & Co.",American,1870,1920,NA,1887,1887,1887,Commercial color lithograph,Sheet: 2 3/4 x 1 1/2 in. (7 x 3.8 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints|Ephemera,NA
6661,739058,TRUE,Drawings and Prints,1959,Print,Spiritual Lovers,NA,NA,NA,NA,NA,Artist|Etcher,After,George Moutard Woodward|Thomas Rowlandson,"British, ca. 1760–1809 London|British, London 1757–1827 London",NA,"Woodward, George Moutard|Rowlandson, Thomas",NA,1760      |1757,1809      |1827,|,"January 2, 1797",1797,1797,Etching,Sheet: 10 9/16 × 7 13/16 in. (26.8 × 19.8 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
87653,486690,FALSE,Modern and Contemporary Art,1996,Bag,Bag,NA,NA,NA,NA,NA,Designer,NA,Emanuele Pantanella,"Italian, born 1939",NA,"Pantanella, Emanuele",Italian,1939,9999,NA,1991,1991,1991,"Macassar ebony, red jasper, gold, silver, and silk","L. 7-7/8, W. 4-1/2 in. (20.0 x 11.4 cm.)
","Purchase, Mildred S. Hilson Bequest, in honor of William S. Lieberman, 1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Woodwork,NA
22513,375897,FALSE,Drawings and Prints,2007,Print,Marriage Ceremony of the Panama Indians,NA,NA,NA,NA,NA,Artist,NA,Bernard Picart,"French, Paris 1673–1733 Amsterdam",NA,"Picart, Bernard",French,1673,1733,NA,ca. 1723,1718,1728,Engraving,"sheet: 7 7/8 x 11 in. (20 x 27.9 cm)
plate width: 8 11/16 in. (22.1 cm); sheet is cut at bottom","Bequest of William S. Lieberman, 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
45610,709290,FALSE,Drawings and Prints,1917,Print,A Valley of the Ardennes,NA,NA,NA,NA,NA,Artist,NA,Sir David Young Cameron,"British, Glasgow, Scotland 1865–1945 Perth, Scotland",NA,"Cameron, David Young, Sir",NA,1865,1945,NA,1907,1907,1907,Etching and drypoint; second state of two,"Sheet: 8 3/4 × 12 13/16 in. (22.2 × 32.5 cm)
Plate: 6 7/8 × 10 1/16 in. (17.5 × 25.5 cm)","Harris Brisbane Dick Fund, 1917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
87833,721760,TRUE,Greek and Roman Art,2011,Kylix fragment,Terracotta fragment of a stemless kylix (drinking cup),"Greek, Attic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470–450 B.C.,-530,-300,Terracotta,NA,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vases,NA
40369,728052,FALSE,Drawings and Prints,1961,NA,Royal Navy. Wanted Seamen for the Period of Hostilities,NA,NA,NA,NA,NA,Publisher,NA,W. P. Griffith & Sons Ltd.,NA,NA,W. P. Griffith & Sons Ltd.,NA,NA,NA,NA,1914–18,1914,1918,Letterpress,Sheet: 32 1/16 × 21 7/16 in. (81.5 × 54.5 cm),"Gift of Mrs. William O'D. Iselin, 1961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Posters,NA
26867,498655,FALSE,Modern and Contemporary Art,2011,Sculpture,The Square Root of Minus One #3,NA,NA,NA,NA,NA,Artist,NA,Joseph Kosuth,"American, born Toledo, Ohio 1945",NA,"Kosuth, Joseph",American,1945,2045,NA,1988,1988,1988,"Silkscreen on wall, silkscreen on glass, cast aluminum plaque","64 7/8 x 230 x 4 in. (164.8 x 584.2 x 10.2 cm)
","Gift of Barbara Bertozzi Castelli, 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sculpture,"© 2020 Artists Rights Society (ARS), New York"
60499,784300,FALSE,Drawings and Prints,1963,Print; ephemera,"Actress wearing a costume, holding up the lace part at left, from the ""Movie Stars"" series (T83), issued with Egyptian Prettiest Cigarettes by Schinasi Brothers Tobacco Company",NA,NA,NA,NA,NA,Publisher,Issued by,Schinasi Brothers Tobacco Company,NA,NA,Schinasi Brothers Tobacco Company,NA,1893,1916,NA,1920–25,1920,1925,Commercial photolithograph,Sheet: 3 1/4 × 2 1/2 in. (8.2 × 6.3 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints|Ephemera,NA
74049,342450,FALSE,Drawings and Prints,1951,Print,"Portrait of Ioannes Altus (Johann Alten), of the Swiss Guard, standing by the Quirinal and pointing out the antiquities of Rome",NA,NA,NA,NA,NA,Artist|Sitter,portrait of,"Francesco Villamena|Hans Rudolph Heinrich Hoch (Giovanni Grosso, Giovanni Alto)","Italian, Assisi ca. 1565–1624 Rome|Swiss, ca. 1574–ca. 1640",NA,"Villamena, Francesco|Hoch, Hans Rudolph Heinrich",Italian|Swiss,1565      |1574,1624      |1640,|,1623,1623,1623,Engraving,19 7/8 x 14 5/8 in.  (50.5 x 37.1 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
31698,423524,TRUE,Drawings and Prints,1963,Print,"Captain John Smith, from the series Great Americans (N76) for Duke brand cigarettes",NA,NA,NA,NA,NA,Publisher,Issued by,"W. Duke, Sons & Co.","New York and Durham, N.C.",NA,"Duke, W. Sons & Co.",NA,1870,1920,NA,1888,1888,1888,Commercial color lithograph,Sheet: 2 3/4 × 1 1/2 in. (7 × 3.8 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints|Ephemera,NA
4600,42533,TRUE,Asian Art,1925,Covered box,NA,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mid-16th century,1534,1566,"Porcelain painted with cobalt blue under transparent glaze (Jingdezhen ware)

",H. 4 in. (10.2 cm); Diam.15 1/2 in. (39.4 cm),"Rogers Fund, 1925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceramics,NA
39383,60504,FALSE,Asian Art,1943,Fan,NA,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,late 19th century,1871,1899,Ivory with gold lacquer,L. 10 5/8 in. (26.9 cm); W. 18 1/4 in. (46.4 cm),"Gift of Mrs. W. Murray Crane, 1943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fans|Lacquer,NA
30383,364691,TRUE,Drawings and Prints,1926,Print,Lot and His Daughters,NA,NA,NA,NA,NA,Artist,NA,Lucas van Leyden,"Netherlandish, Leiden ca. 1494–1533 Leiden",NA,"Leyden, Lucas van",Netherlandish,1494,1533,NA,1530,1530,1530,Engraving; first state,sheet: 7 7/16 x 9 5/8 in. (18.9 x 24.4 cm),"Harris Brisbane Dick Fund, 1926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
48644,15181,TRUE,The American Wing,2006,"Painting, miniature",Portrait of a Child,American,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca. 1850,1845,1855,Watercolor on ivory,2 1/2 x 2 1/16 in. (6.5 x 5.3 cm),"Gift of Gloria Manney, 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paintings,NA
35138,250879,FALSE,Greek and Roman Art,1919,Volute-krater fragment,Volute-krater fragment,"Greek, South Italian, Apulian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca. 400–350 B.C.,-400,-350,Terracotta,6 1/2 x 4 3/8in. (16.5 x 11.1cm),"Rogers Fund, 1919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vases,NA
622,704004,TRUE,Greek and Roman Art,2011,Kylix fragment,Terracotta rim fragment of a kylix (drinking cup),"Greek, Attic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520–510 B.C.,-530,-450,Terracotta,NA,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vases,NA
76800,448209,FALSE,Islamic Art,1928,Sampler,Sampler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19th century,1800,1899,Cotton; embroidered in silk,31 in. high 29.50 in. wide (78.7 cm high 74.9 cm wide),"Gift of Mrs. DeWitt Clinton Cohen, 1928",Attributed to,Fez,NA,NA,Morocco,NA,NA,NA,NA,NA,NA,Textiles-Embroidered,NA
