Object.ID,Is.Public.Domain,Department,AccessionYear,Object.Name,Title,Culture,Period,Artist.Prefix,Artist.Display.Name,Artist.Display.Bio,Artist.Suffix,Artist.Alpha.Sort,Artist.Nationality,Artist.Begin.Date,Artist.End.Date,Artist.Gender,Object.Date,Object.Begin.Date,Object.End.Date,Medium,Dimensions,Country,Region,Credit.Line,Rights.and.Reproduction
129969,FALSE,Costume Institute,2006,Mohawk,"""Fanzine""",British,NA,NA,Stephen Jones,"British, born 1957",NA,Jones Stephen,British,1957,2057,NA,2006,2006,2006,"wool, paper, synthetic",NA,NA,NA,"Alfred Z. Solomon-Janet A. Sloane Endowment Fund, 2006",NA
113789,FALSE,Costume Institute,1988,Stockings,Stockings,probably American,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1890s,1890,1899,"silk, cotton",NA,NA,NA,"Gift of Mrs. Louis K. Robbins, 1988",NA
755786,TRUE,The Libraries,NA,NA,"Description de la chapelle du chasteau de Versailles, et des ouvrages de sculpture et de peinture",NA,NA,NA,André Felibien,NA,NA,"Felibien, André",NA,NA,NA,NA,1711,1711,1711,NA,"[6], 84, [12] pages : 5 folded plans ; Height: 6 11/16 in. (17 cm)",France,NA,NA,NA
218013,TRUE,European Sculpture and Decorative Arts,1909,Border,Border,"Italian, Genoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca. 1600,1595,1605,Bobbin lace,L. 60 x W. 5 inches (152.4 x 12.7 cm),NA,NA,"Purchase by subscription, 1909",NA
318314,FALSE,"Arts of Africa, Oceania, and the Americas",NA,Nose ornament,Nose Ornament,Tolima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before 16th century,1200,1600,Gold (cast),Diameter 1 in.,Colombia,NA,Museum Accession,NA
185945,TRUE,European Sculpture and Decorative Arts,1881,Mug,Mug,"British, London",NA,NA,John Martin Stockar|Edward Peacock,"active 1695–1712|active 1705, died 1729",NA,Stockar John Martin|Peacock Edward,NA,1695      |1629,1712      |1729,|,1707–8,1707,1708,Silver,Height: 4 1/2 in. (11.4 cm),NA,NA,"Bequest of Stephen Whitney Phoenix, 1881",NA
260383,FALSE,Photographs,1972,Photograph,"Mrs. Andress Small Floyd, Mrs. Alice Downing Hart Floyd, and their daughter Olive",NA,NA,NA,Alice Austen,"American, Staten Island, New York 1866–1952 Staten Island, New York",NA,"Austen, Alice",American,1866,1952,Female,"1890s–1900s, printed ca. 1900",1890,1909,Gelatin silver print,NA,NA,NA,"Gift of Miss Olive Floyd, 1972",NA
282809,FALSE,Photographs,1999,Photograph,"[Walker Evans Working View Camera, Aboard the Cressida, South Seas Trip]",NA,NA,NA,Unknown|Walker Evans,"American|American, St. Louis, Missouri 1903–1975 New Haven, Connecticut",NA,"Unknown|Evans, Walker",American,1903,1975,|,1932,1932,1932,Gelatin silver print,6.1 x 10.1 cm (2 3/8 x 4 in. ),NA,NA,"Anonymous Gift, 1999",NA
780874,FALSE,Photographs,1963,Stereograph,"Delights of Oriental Farming--preparing ground for Rice, the Filipinos' ""Staff of Life,""--Luzon, P.I.",NA,NA,NA,Underwood & Underwood,American,NA,Underwood & Underwood,NA,NA,NA,NA,1901,1901,1901,Albumen silver print,Approx. 3 1/2 × 7 in. (8.9 × 17.8 cm),NA,NA,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",NA
379642,TRUE,Drawings and Prints,1923,Drawing,"Design for Landau, no. 595",NA,NA,NA,Brewster & Co.,"American, New York",NA,Brewster & Co.,American,NA,NA,NA,1850–70,1850,1870,"Pen and black ink, watercolor and gouache",sheet: 6 1/2 x 9 3/8 in. (16.5 x 23.8 cm),NA,NA,"Gift of William Brewster, 1923",NA
214693,FALSE,European Sculpture and Decorative Arts,1908,Piece,Piece,German,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19th century,1800,1899,Bobbin lace,L. 10 x W. 3 inches (25.4 x 7.6 cm),NA,NA,"The Nuttall Collection, Gift of Mrs. Magdalena Nuttall, 1908",NA
222565,TRUE,European Sculpture and Decorative Arts,1932,Napkin,Napkin,French,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1848–52,1848,1852,Linen,16 1/2 x 16 inches (41.9 x 40.6 cm),NA,NA,"Gift of Annie May Hegeman, 1932",NA
399920,FALSE,Drawings and Prints,1961,Print,A Peasant and His Lover (copy),NA,NA,after,"Sebald Beham|Anonymous, 16th century","German, Nuremberg 1500–1550 Frankfurt",NA,"Beham, Sebald|Anonymous, 16th century",German,1500      |1500,1550      |1600,|,1521 (after),1521,1521,Etching,plate: 3 1/8 x 2 3/16 in. (7.9 x 5.5 cm),NA,NA,"Harry G. Friedman, 1961",NA
314150,FALSE,"Arts of Africa, Oceania, and the Americas",1979,Mask,Helmet Mask: Crocodile (Agye or Age),Dogon peoples,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19th–20th century,1800,2000,Wood,H. 13 3/8 x W. 6 x D. 7 3/4 in. (34 x 15.2 x 19.7 cm),Mali,NA,"Gift of Lester Wunderman, 1979",NA
284492,FALSE,Photographs,2001,Photograph,"Xihu, Hangzhou, Zhejiang, China",NA,NA,NA,Lois Conner,"American, born New York, 1951",NA,"Conner, Lois",American,1951,9999,Female,1998,1998,1998,Platinum-palladium print,16.4 x 41.0 cm (6 7/16 x 16 1/8 in. ),NA,NA,"Purchase, Charina Foundation Inc. Gift, 2001",© Lois Conner 2000
60324,TRUE,Asian Art,1910,Netsuke,NA,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19th century,1800,1899,Ivory carved in openwork,H. 5/8 in. (1.6 cm); Diam. 1 5/8 in. (4.1 cm),NA,NA,"Gift of Mrs. Russell Sage, 1910",NA
401464,TRUE,Drawings and Prints,1963,"Baseball card, photograph","Sutton, 2nd Base, Boston, from the Old Judge series (N172) for Old Judge Cigarettes",NA,NA,Issued by,Goodwin & Company,NA,NA,Goodwin & Company,NA,1850,1950,NA,1887,1887,1887,Albumen photograph,sheet: 2 11/16 x 1 3/8 in. (6.9 x 3.5 cm),NA,NA,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",NA
71317,TRUE,Asian Art,1920,Piece,NA,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17th century,1600,1699,Silk / Compound weave,4 × 1 5/8 in. (10.2 × 4.1 cm),NA,NA,"Gift of Kihei Hattori, in memory of his father, Kihei Hattori, 1920",NA
815390,FALSE,Modern and Contemporary Art,2019,Drawing,Ambivalent Sequences Post-Image,NA,NA,NA,Julio Le Parc,"Argentine, born 1928",NA,"Le Parc, Julio",NA,1928,NA,NA,1959,1959,1959,Gouache on cardboard,"9 13/16 × 9 13/16 in. (25 × 25 cm)
",NA,NA,"Gift of the artist, in celebration of the Museum's 150th Anniversary, 2019",© Atelier Le Parc
833931,FALSE,Drawings and Prints,2019,Letter,"Letter from Kathleen Nevinson to Grant Richards June 14, 1917",NA,NA,NA,Christopher Richard Wynne Nevinson,"British, London 1889–1946 London",NA,"Nevinson, Christopher Richard Wynne",NA,1889,1946,NA,1917,1917,1917,Letter,Sheet: 7 1/2 × 5 3/4 in. (19.1 × 14.6 cm),NA,NA,"Purchase, Leslie and Johanna Garfield Gift, Lila Acheson Wallace, Charles and Jessie Price, and David T Schiff Gifts, The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, Dolores Valvidia Hurlburt Bequest, Peco Foundation and Friends of Drawings and Prints Gifts, and funds from various donors, 2019",NA
761109,FALSE,Drawings and Prints,1963,"Print, boxing",Jack Dempsey Supervising Rudolph Valentino from Boxers Exhibits series (W467),NA,NA,NA,Exhibit Supply Company,NA,NA,Exhibit Supply Company,NA,1900,1971,NA,ca. 1920,1920,1926,Commercial color photolithograph,Sheet: 3 5/16 × 5 1/4 in. (8.4 × 13.4 cm),NA,NA,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",NA
378724,TRUE,Drawings and Prints,1923,Drawing,"Design for 2 seat Phaeton, no. 3010a",NA,NA,NA,Brewster & Co.,"American, New York",NA,Brewster & Co.,American,NA,NA,NA,1874,1874,1874,"Pen and black ink, watercolor and gouache",sheet: 6 1/8 x 9 1/4 in. (15.6 x 23.5 cm),NA,NA,"Gift of William Brewster, 1923",NA
107451,FALSE,Costume Institute,1980,Parasol,Parasol,American,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1900–1910,1900,1910,"wood, metal, silk, metallic thread, semi-precious (?) stones",NA,NA,NA,"Gift of Mrs. Alan L. Corey Jr., Mrs. William T. Newbold, and Mrs. A.G. Paine, II, 1980",NA
577287,FALSE,Egyptian Art,1916,"Inlay, chevron","Inlay, chevron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca. 1550–1295 B.C.,-1550,-1295,Glass,NA,Egypt,"Upper Egypt, Thebes","Gift of Bashford Dean, 1916",NA
389112,FALSE,Drawings and Prints,1957,Print,Mr. Gilbert Harding (Heroes of Our Time – 2),NA,NA,NA,Ronald Searle|Gilbert Charles Harding,"British, Cambridge 1920–2011 Draguignan, France|British, 1907–1960",NA,"Searle, Ronald|Harding, Gilbert Charles",British,1920      |1907,2011      |1960,|,"September 19, 1956",1956,1956,Color lithograph,sheet: 17 5/16 x 11 3/16 in. (43.9 x 28.4 cm),NA,NA,"Gift of Josephine Allen, 1957",NA
706375,TRUE,Drawings and Prints,1963,Album Drawings Prints Ornament & Architecture,"Page from a Scrapbook containing Drawings and Several Prints of Architecture, Interiors, Furniture and Other Objects",NA,NA,Workshop of|Workshop of,Pierre François Léonard Fontaine|Charles Percier,"French, Pontoise 1762–1853 Paris|French, Paris 1764–1838 Paris",NA,"Fontaine, Pierre François Léonard|Percier, Charles",NA,1762      |1764,1853      |1838,|,ca. 1800–1850,1795,1805,"Pen and black and gray ink, graphite, black chalk",15 11/16 x 10 in.  (39.8 x 25.4 cm),NA,NA,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1963",NA
458046,FALSE,Islamic Art,2013,Collage,Nothing to Declare,NA,NA,NA,Maliheh Afnan,"Iranian, Haifa, present-day Israel 1935–2016 London",NA,"Afnan, Maliheh",Iranian,1935,2016,Female,2007,2007,2007,Mixed media and gauze on paper,"In plexi mount:
H. 17 in. (43.2 cm)
W. 23 7/8 in. (60.6 cm)
D. 1 1/8 in. (2.9 cm)",England,NA,"Purchase, 2011 NoRuz at The Met Benefit, 2013",© Maliheh Afnan
773112,FALSE,Asian Art,2019,Hanging scroll,NA,China,NA,NA,Qi Baishi,"Chinese, 1864–1957",NA,QI BAISHI,NA,1864,1957,NA,1947,1947,1947,Framed hanging scroll; ink and color on paper,Image: 12 7/8 × 17 5/8 in. (32.7 × 44.8 cm),NA,NA,"Bequest of Robert H. Ellsworth, 2014",NA
370298,FALSE,Drawings and Prints,2006,Print,Condé Family Portrait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n.d.,1557,1830,Engraving and etching,NA,NA,NA,"Gift of Professor Maan Z. Madina and Dr. Marilyn Jenkins-Madina, 2006",NA
631165,FALSE,Drawings and Prints,1966,Print,"Wine Leading to Lust, from The Effects of Drunkenness",NA,NA,After,Dirck Volckertsz Coornhert|Maarten van Heemskerck,"Netherlandish, Amsterdam 1519/22–1590 Gouda|Netherlandish, Heemskerck 1498–1574 Haarlem",NA,"Coornhert, Dirck Volckertsz|Heemskerck, Maarten van",Netherlandish|Netherlandish,1519      |1498,1590      |1574,|,1551,1551,1551,Etching and Engraving,Sheet: 4 5/8 in. × 7 in. (11.8 × 17.8 cm) (cut),NA,NA,"Rogers Fund, 1966",NA
361877,FALSE,Drawings and Prints,1951,Print,"Plate 13: Illustration for Canto XIII, from  Torquato Tasso's 'Gerusalemme liberata III'",NA,NA,NA,Antonio Tempesta,"Italian, Florence 1555–1630 Rome",NA,"Tempesta, Antonio",Italian,1555,1630,NA,ca. 1590–1630,1585,1630,Etching,Sheet (Trimmed): 10 7/8 × 8 1/16 in. (27.6 × 20.5 cm),NA,NA,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1951",NA
665908,FALSE,Modern and Contemporary Art,1956,Drawing,"Sketches for ""The Sun""",NA,NA,NA,Richard Lippold,"American, Milwaukee, Wisconsin 1915– 2002 Roslyn, New York",NA,"Lippold, Richard",American,1915,2002,NA,1953,1953,1953,Graphite on paper,18 × 24 in. (45.7 × 61 cm),NA,NA,"Fletcher Fund, 1956","© 2020  Artists Rights Society (ARS), New York"
775034,FALSE,Photographs,2018,NA,[Paper Moon Studio Portrait],NA,NA,NA,Unknown,NA,(American),Unknown,NA,NA,NA,NA,1900s–1930s,1900,1939,Gelatin silver print,ca. 5 1/2 × 3 1/2 in. (14 × 8.9 cm),NA,NA,"Gift of Peter J. Cohen, 2018",NA
174666,FALSE,Costume Institute,2009,Evening dress,Evening dress,American,NA,NA,Valentina,"American, born Russia, 1899–1989",NA,Valentina,American,1899,1989,Female,ca. 1935,1933,1937,Silk,NA,NA,NA,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of the estate of Margaret Rudkin, 1967",NA
393565,FALSE,Drawings and Prints,1956,Print,"""Struthio Africus/ Autruche"" (Ostrich), from Diverses Oiseaux dessignées et gravées d'après le naturel par N. Robert",NA,NA,Published by,Nicolas Robert|F. Poilly,"French, Langres 1614–1685 Paris",", Paris","Robert, Nicolas|Poilly, F.",French|French,1614,1685,|,1673,1673,1673,Etching,sheet: 9 1/2 x 7 1/8 in. (24.1 x 18.1 cm),NA,NA,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1956",NA
457125,TRUE,Islamic Art,1939,Coin,Coin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dated A.H. 355/ A.H. 966,941,991,Silver,NA,Iran|present-day Uzbekistan,NA,"Rogers Fund, 1939",NA
264792,FALSE,Photographs,1986,Photograph,Josef Albers,NA,NA,NA,Yousuf Karsh,"Canadian (born Armenia), Mardin 1908–2002 Boston, Massachusetts",NA,"Karsh, Yousuf","Canadian, born Armenia",1908,2002,NA,1966,1966,1966,Gelatin silver print,34.2 x 27.2 cm. (13  7/16  x 10  11/16  in.),NA,NA,"Gift of Harry Kahn, 1986",© Yousuf Karsh
349390,FALSE,Drawings and Prints,1963,Book,Fog,NA,NA,Written by|Illustrated by|Published by,K. Evald|Yu. Soster|Detskiy Mir,Dutch|Moscow,NA,"Evald, K.|Soster, Yu.|Detskiy Mir",Dutch|Russian|Russian,1900,1999,||,1961,1961,1961,Commercial color process,Overall: 11 1/16 x 8 5/8 x 1/16 in. (28.1 x 21.9 x 0.2 cm),NA,NA,"Gift of Mrs. Joseph Y. Smith, 1963",NA
468284,TRUE,Medieval Art,1949,Pin,Pin,Irish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10th century,900,999,Copper alloy,Overall: 4 15/16 x 7/16 in. (12.6 x 1.1 cm),NA,NA,"Rogers Fund, 1949",NA
354352,FALSE,Drawings and Prints,1921,Book,Musaei Iovani Imagines Artifice manu ad vivum  expressae,NA,NA,Written by|Printed by|Portraits based on drawings by,Theobaldus Müller|Peter Perna|Tobias Stimmer,"1522–1582|Swiss, Schaffhausen 1539–1584 Strasbourg",", Basel","Müller, Theobaldus|Perna, Peter|Stimmer, Tobias",German|German|Swiss,1558      |1539,1582      |1584,||,March 1577,1577,1577,Woodcuts,Overall: 8 9/16 x 6 1/8 x 13/16 in. (21.8 x 15.5 x 2 cm),NA,NA,"Rogers Fund, transferred from the Library",NA
73299,TRUE,Asian Art,2006,Handscrolls,清  佚名  黃河萬里圖  卷|Ten Thousand Miles along the Yellow River,China,NA,NA,Unidentified Artist,NA,"Chinese, active late 17th–early 18th century",Unidentified Artist,NA,NA,NA,NA,datable to 1690–1722,1690,1722,"Two handscrolls; ink, color, and gold on silk","Image: 30 11/16 in. × 42 ft. 1 7/8 in. (78 × 1285 cm)
Overall with mounting: 32 7/8 in. × 42 ft. 1 7/8 in. (83.5 × 1285 cm)",NA,NA,"Purchase, W. M. Keck Foundation Gift, The Dillon Fund Gift and gifts from various donors, in memory of Douglas Dillon, 2006",NA
271408,FALSE,Photographs,1968,Photograph,"[Three actors posing in costume, possibly for Faust]",NA,NA,NA,Dover Street Studio,British,NA,Dover Street Studio,British,NA,NA,NA,ca. 1910,1908,1912,Gelatin silver print,NA,NA,NA,"Gift of Dr. Harold Lefft, 1968",NA
483351,FALSE,Modern and Contemporary Art,1984,Drawing,Standing Woman,NA,NA,NA,Gaston Lachaise,American (born France) 1882–1935,NA,"Lachaise, Gaston",American,1882,1935,NA,ca. 1908,1908,1908,Watercolor on paper,10 × 8 in. (25.4 × 20.3 cm),NA,NA,"Bequest of Scofield Thayer, 1982",NA
703836,TRUE,Greek and Roman Art,2011,"Kylix fragment, eye-cup",Terracotta rim fragment of a kylix: eye-cup  (drinking cup),"Greek, Attic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,525–515 B.C.,-530,-450,Terracotta,NA,NA,NA,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",NA
693513,TRUE,Greek and Roman Art,2011,Kylix fragment,Terracotta fragment of a kylix (drinking cup),"Greek, Attic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,first quarter of the 5th century B.C.,-500,-450,Terracotta,NA,NA,NA,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",NA
482390,FALSE,Modern and Contemporary Art,1981,Drawing,Head of a Woman Smiling,NA,NA,NA,Meraud Guevara,"British, 1904–1993",NA,"Guevara, Meraud",British,1904,1993,Female,1939,1939,1939,Graphite on paper,16 3/8 × 13 3/4 in. (41.6 × 34.9 cm),NA,NA,"Gift of Barbara and Lawrence Salander, 1981",NA
40750,TRUE,Asian Art,1929,Candlestick,NA,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1736,1795,Cloisonné enamel,"H. 9 3/4 in. (24.8 cm); W. 4 3/4 in. (12.1 cm)
",NA,NA,"Gift of Edward G. Kennedy, 1929",NA
417981,FALSE,Drawings and Prints,1969,Book,High Twelve Camps,NA,NA,NA,"Edgar Nodine, Proprietor Rowe Pond, Bingham Maine",NA,NA,"Edgar Nodine, Proprietor Rowe Pond, Bingham Maine",American,1900,1940,NA,1920–30,1920,1930,Illustrations: photomechanical process,6 5/16 x 3 9/16 in. (16 x 9 cm),NA,NA,"Gift of Mrs. James S. Hedges, 1969",NA
259150,TRUE,Greek and Roman Art,2011,Kylix fragments,Fragments of a terracotta kylix,"Greek, Attic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mid 5th century B.C.,-475,-425,Terracotta,Other: 1 x 5 13/16 x 6 1/8 in. (2.6 x 14.7 x 15.5 cm),NA,NA,"Gift of the Honorable Iris Cornelia Love, 2011",NA
44306,TRUE,Asian Art,1994,Bracelet,NA,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca. 2400–2000 B.C.,-2400,-2000,Jade (Nephrite),Diam. 3 3/8 in. (8.6 cm); W. 2 in. (5.1 cm),NA,NA,"Charlotte C. and John C. Weber Collection, Gift of Charlotte C. and John C. Weber, 1994",NA
564543,FALSE,Egyptian Art,1909,"Arrow point, Apries","Arrow point, Apries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,589–570 B.C.,-589,-589,Bronze or copper alloy,L. 2.5 cm (1 in.),Egypt,Memphite Region,"Gift of The Egyptian Research Account and British School of Archaeology in Egypt, 1909",NA
478442,TRUE,Medieval Art,1925,Bowl,Bowl,Coptic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4th–7th century,300,699,Earthenware,H: 2 1/16 in  (5.3 cm); Diameter: 4 1/2 in. (11.4 cm),Byzantine Egypt,NA,"Rogers Fund, 1925",NA
387524,TRUE,Drawings and Prints,1991,Print,Head of a Woman,NA,NA,NA,Eugène Carrière,"French, Gournay 1849–1906 Paris",NA,"Carrière, Eugène",French,1849,1906,NA,ca. 1904,1899,1909,Aquatint,"Sheet: 12 5/16 × 8 3/4 in. (31.3 × 22.3 cm)
Plate: 7 1/4 x 6 1/8 in. (18.4 x 15.5 cm)",NA,NA,"Gift of the Robert Mapplethorpe Foundation Inc., 1991",NA
824381,FALSE,Drawings and Prints,1926,"Print, Trade Card","Trade Card for Andrew Wilson, Book-binder & Stationer",NA,NA,NA,"Anonymous, British, 18th century",NA,NA,"Anonymous, British, 18th century",NA,1700,1800,NA,18th century,1700,1800,Engraving,Sheet: 2 5/16 × 3 1/8 in. (5.8 × 8 cm),NA,NA,"Gift of Bella C. Landauer, 1926",NA
334010,TRUE,Drawings and Prints,1935,Drawing,"A charlatan extracting a tooth from a patient's mouth, figure in the foreground vomiting; folio 68 (verso) from the Madrid Album 'B'",NA,NA,NA,Goya (Francisco de Goya y Lucientes),"Spanish, Fuendetodos 1746–1828 Bordeaux",NA,Goya (Francisco de Goya y Lucientes),Spanish,1746,1828,NA,1796–97,1796,1797,Brush and gray wash(indian ink) on laid Netherlandish paper,Sheet: 9 1/4 × 5 3/4 in. (23.5 × 14.6 cm),NA,NA,"Harris Brisbane Dick Fund, 1935",NA
678435,TRUE,Greek and Roman Art,2011,Kylix fragments,Terracotta fragments of kylikes (drinking cups),"Greek, Attic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5th century B.C.,-500,-450,Terracotta,NA,NA,NA,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",NA
73534,TRUE,Asian Art,2007,Print,NA,Japan,NA,NA,Utagawa Yoshimori,"Japanese, 1830–1884",NA,Utagawa Yoshimori,Japanese,1830,1884,NA,"October, 1872",1872,1872,Woodblock print; ink and color on paper,Image: 14 1/4 x 9 1/2 in. (36.2 x 24.1 cm),NA,NA,"Bequest of William S. Lieberman, 2005",NA
380686,TRUE,Drawings and Prints,1926,Print,View of Chaillot in Paris,NA,NA,NA,"Reinier Nooms, called Zeeman","Dutch, Amsterdam ca. 1623–1664 Amsterdam",NA,"Zeeman, Reinier Nooms",Dutch,1623,1664,NA,17th century,1635,1670,Etching; second state,sheet: 6 11/16 x 11 15/16 in. (17 x 30.3 cm),NA,NA,"Harris Brisbane Dick Fund, 1926",NA
663679,FALSE,Drawings and Prints,1946,Print,"Naked female seated on a rock with child on her lap and another at left standing and grasping her breast, a child seated in the foreground holding wheat and a bird and other child at right holding a dog by the leash; dead tree with tablet hanging from it (text scored through) in the background",NA,NA,NA,Cristofano di Michele Martini (Il Robetta),"Italian, Florence 1462–after 1535 Florence",NA,"Martini, Cristofano di Michele called ""Il Robetta""",Italian,1462,1535,NA,ca. 1500–1520,1495,1525,Engraving,Sheet (Trimmed): 9 15/16 × 7 7/16 in. (25.2 × 18.9 cm),NA,NA,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1985",NA
